,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
733,0.08839640617370606,0.004332455622760641,0.007337331771850586,0.00035481096962362006,0.1,{1: 10},gini,11,0.7,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 11, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
734,0.10355420112609863,0.0029188466788660767,0.007813596725463867,0.000639049548912302,0.1,{1: 10},gini,11,0.7,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 11, 'max_features': 0.7, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
735,0.12167634963989257,0.003019227540696049,0.007577085494995117,0.00039203121650078956,0.1,{1: 10},gini,11,0.7,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 11, 'max_features': 0.7, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
736,0.2509141445159912,0.00580700048602209,0.007281827926635742,0.0002459018480361322,0.1,{1: 10},gini,13,,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 13, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
737,0.11557073593139648,0.0075082596178194586,0.007409000396728515,0.0004442628007573852,0.1,{1: 10},gini,13,,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 13, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
738,0.13846745491027831,0.00343624697006974,0.007286214828491211,0.00031196834113620813,0.1,{1: 10},gini,13,,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 13, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
739,0.16888394355773925,0.008957000572079097,0.007407426834106445,0.00030864513047897194,0.1,{1: 10},gini,13,,40,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 13, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
740,0.18769097328186035,0.0031839898948924474,0.007288312911987305,0.0002461061205651019,0.1,{1: 10},gini,13,0.7,,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 13, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
741,0.08625197410583496,0.0011213934774791483,0.00819711685180664,0.0009367242285178417,0.1,{1: 10},gini,13,0.7,10,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 13, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
742,0.1058272361755371,0.005916166225794339,0.007626819610595703,0.0006062231549620736,0.1,{1: 10},gini,13,0.7,20,1,best,"{'ccp_alpha': 0.1, 'class_weight': {1: 10}, 'criterion': 'gini', 'max_depth': 13, 'max_features': 0.7, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",-101200.0,-100900.0,-100900.0,37425.0,-101150.0,-73345.0,55385.13880094551,721,-404100.0,-404400.0,-404400.0,182025.0,-404150.0,-287005.0,234515.03278041686
